Individual ID	Coverage	Purity	Mutation Type	Original Events	Events 100X	Sensitivity 100X	Events 80X	Sensitivity 80X	Events 60X	Sensitivity 60X	Events 30X	Sensitivity 30X
IID_H135089	108	0.489505802012406	SVs	3	3.0	1.0	2	0.6666666666666666	2	0.6666666666666666	1	0.3333333333333333
IID_H136083	94	0.871536537766891	SNVs	1670			1525	0.9131736526946108	1402	0.8395209580838323	1163	0.6964071856287425
IID_H136083	94	0.871536537766891	Indels	128			118	0.921875	104	0.8125	75	0.5859375
IID_H136083	94	0.871536537766891	SVs	115			94	0.8173913043478261	82	0.7130434782608696	53	0.4608695652173913
IID_H136139	81	0.55746	SNVs	6965					6760	0.9705671213208902	6519	0.9359655419956927
IID_H136139	81	0.55746	Indels	873					812	0.9301260022909508	713	0.8167239404352806
IID_H136139	81	0.55746	SVs	696					681	0.978448275862069	632	0.9080459770114943
IID_H136375	98	0.66066	SNVs	7289			6650	0.9123336534504047	5983	0.8208259020441762	4668	0.6404170668130059
IID_H136375	98	0.66066	Indels	913			839	0.91894852135816	780	0.8543263964950711	648	0.7097480832420592
IID_H136375	98	0.66066	SVs	309			300	0.970873786407767	289	0.9352750809061489	249	0.8058252427184466
IID_H136424	133	0.76518	SNVs	2281	2072.0	0.9083735203857957	1910	0.8373520385795704	1710	0.7496711968434897	1307	0.5729943007452871
IID_H136424	133	0.76518	Indels	232	198.0	0.853448275862069	188	0.8103448275862069	163	0.7025862068965517	136	0.5862068965517241
IID_H136424	133	0.76518	SVs	10	8.0	0.8	8	0.8	6	0.6	3	0.3
IID_H136425	117	0.7831	SNVs	4511	4325.0	0.9587674573265351	4116	0.9124362669031257	3895	0.8634449124362669	3643	0.8075814675238306
IID_H136425	117	0.7831	Indels	575	560.0	0.9739130434782609	544	0.9460869565217391	536	0.9321739130434783	507	0.8817391304347826
IID_H136425	117	0.7831	SVs	36	35.0	0.9722222222222222	33	0.9166666666666666	33	0.9166666666666666	32	0.8888888888888888
IID_H136428	114	0.43428	SNVs	3537	3473.0	0.9819055696918292	3401	0.9615493355951371	3319	0.9383658467627933	3080	0.8707944585807181
IID_H136428	114	0.43428	Indels	646	617.0	0.955108359133127	606	0.9380804953560371	584	0.9040247678018576	508	0.7863777089783281
IID_H136428	114	0.43428	SVs	305	296.0	0.9704918032786886	287	0.940983606557377	279	0.9147540983606557	243	0.7967213114754098
IID_H135088	89	0.4554	SNVs	7570			7485	0.9887714663143989	7330	0.9682959048877147	6592	0.8708058124174373
IID_H135088	89	0.4554	Indels	727			710	0.9766162310866575	690	0.9491059147180193	569	0.782668500687758
IID_H135088	89	0.4554	SVs	325			320	0.9846153846153847	297	0.9138461538461539	176	0.5415384615384615
IID_H133672	101	0.85595	SNVs	1938			1843	0.9509803921568627	1775	0.9158926728586171	1655	0.8539731682146543
IID_H133672	101	0.85595	Indels	1393			1331	0.955491744436468	1278	0.9174443646805456	1177	0.8449389806173726
IID_H133672	101	0.85595	SVs	14			11	0.7857142857142857	9	0.6428571428571429	8	0.5714285714285714
IID_H133671	92	0.93217	SNVs	4506			4471	0.9922325787838437	4439	0.9851309365290724	4387	0.9735907678650688
IID_H133671	92	0.93217	Indels	317			313	0.9873817034700315	305	0.9621451104100947	289	0.9116719242902208
IID_H133671	92	0.93217	SVs	45			43	0.9555555555555556	44	0.9777777777777777	42	0.9333333333333333
IID_H133675	144	0.497745475914974	SNVs	5450	4721.0	0.8662385321100917	4327	0.7939449541284403	3794	0.6961467889908257	2944	0.5401834862385321
IID_H133675	144	0.497745475914974	Indels	1283	1179.0	0.9189399844115355	1129	0.8799688230709275	1078	0.8402182385035074	892	0.6952455183164459
IID_H133675	144	0.497745475914974	SVs	16	13.0	0.8125	9	0.5625	6	0.375	6	0.375
IID_H133674	95	0.90252	SNVs	10676			10425	0.976489321843387	10135	0.9493255901086549	9818	0.9196328212813788
IID_H133674	95	0.90252	Indels	691			676	0.9782923299565847	667	0.9652677279305355	636	0.9204052098408104
IID_H133674	95	0.90252	SVs	8			8	1.0	7	0.875	5	0.625
IID_H136631	82	0.22034	SNVs	5191					4900	0.9439414371026777	4063	0.7827008283567713
IID_H136631	82	0.22034	Indels	334					295	0.8832335329341318	207	0.6197604790419161
IID_H136631	82	0.22034	SVs	5					5	1.0	1	0.2
IID_H136632	113	0.6138	SNVs	11440	11104.0	0.9706293706293706	10600	0.9265734265734266	10042	0.8777972027972027	9052	0.7912587412587413
IID_H136632	113	0.6138	Indels	1139	1086.0	0.9534679543459175	1041	0.9139596136962248	989	0.8683055311676909	849	0.7453906935908692
IID_H136632	113	0.6138	SVs	229	217.0	0.9475982532751092	214	0.9344978165938864	202	0.8820960698689956	161	0.7030567685589519
IID_H136633	107	0.95772	SNVs	422	407.0	0.9644549763033176	383	0.9075829383886256	343	0.8127962085308057	321	0.7606635071090048
IID_H136633	107	0.95772	Indels	90	87.0	0.9666666666666667	78	0.8666666666666667	70	0.7777777777777778	65	0.7222222222222222
IID_H136633	107	0.95772	SVs	2	2.0	1.0	2	1.0	1	0.5	1	0.5
IID_H136640	83	0.85184	SNVs	984					906	0.9207317073170732	840	0.8536585365853658
IID_H136640	83	0.85184	Indels	182					172	0.945054945054945	157	0.8626373626373627
IID_H136640	83	0.85184	SVs	26					26	1.0	25	0.9615384615384616
IID_H136641	86	0.66792	SNVs	2315			2286	0.9874730021598273	2203	0.9516198704103672	2063	0.8911447084233262
IID_H136641	86	0.66792	Indels	215			209	0.9720930232558139	199	0.9255813953488372	179	0.8325581395348837
IID_H136641	86	0.66792	SVs	533			528	0.9906191369606003	496	0.9305816135084428	422	0.7917448405253283
IID_H136648	181	0.266	SNVs	4577	3752.0	0.8197509285558225	3444	0.7524579418833297	2949	0.6443084990168233	2130	0.46537032991042165
IID_H136648	181	0.266	Indels	317	272.0	0.8580441640378549	258	0.8138801261829653	223	0.7034700315457413	163	0.5141955835962145
IID_H136648	181	0.266	SVs	34	29.0	0.8529411764705882	23	0.6764705882352942	16	0.47058823529411764	10	0.29411764705882354
IID_H156407	95	0.618687142460166	SNVs	5433			5078	0.9346585680103073	4488	0.8260629486471562	3625	0.6672188477820725
IID_H156407	95	0.618687142460166	Indels	571			537	0.9404553415061296	508	0.8896672504378283	425	0.7443082311733801
IID_H156407	95	0.618687142460166	SVs	35			33	0.9428571428571428	30	0.8571428571428571	22	0.6285714285714286
IID_H156409	80	0.68448	SNVs	20867					18084	0.8666315234580917	13631	0.653232376479609
IID_H156409	80	0.68448	Indels	1868					1666	0.8918629550321199	1383	0.7403640256959315
IID_H156409	80	0.68448	SVs	602					535	0.8887043189368771	439	0.729235880398671
IID_H156416	93	0.394	SNVs	784			684	0.8724489795918368	542	0.6913265306122449	374	0.4770408163265306
IID_H156416	93	0.394	Indels	50			49	0.98	35	0.7	27	0.54
IID_H156416	93	0.394	SVs	1			1	1.0	1	1.0	1	1.0
IID_H136433	82	0.74625	SNVs	9741					9268	0.9514423570475311	8615	0.8844061184683297
IID_H136433	82	0.74625	Indels	990					931	0.9404040404040404	831	0.8393939393939394
IID_H136433	82	0.74625	SVs	716					697	0.973463687150838	612	0.8547486033519553
IID_H156418	106	0.4428	SNVs	1399	1357.0	0.9699785561115082	1271	0.908506075768406	1165	0.8327376697641172	952	0.6804860614724804
IID_H156418	106	0.4428	Indels	132	128.0	0.9696969696969697	115	0.8712121212121212	110	0.8333333333333334	72	0.5454545454545454
IID_H156418	106	0.4428	SVs	9	9.0	1.0	9	1.0	8	0.8888888888888888	4	0.4444444444444444
IID_H158151	76	0.483	SNVs	15056					14938	0.9921625929861849	14420	0.9577577045696068
IID_H158151	76	0.483	Indels	2532					2431	0.9601105845181674	2188	0.8641390205371248
IID_H158151	76	0.483	SVs	310					289	0.932258064516129	234	0.7548387096774194
IID_H158180	91	0.92	SNVs	1983			1838	0.9268784669692385	1586	0.7997982854261221	1290	0.6505295007564297
IID_H158180	91	0.92	Indels	899			881	0.9799777530589544	851	0.946607341490545	786	0.8743047830923248
IID_H158180	91	0.92	SVs	25			24	0.96	23	0.92	20	0.8
IID_H158181	99	0.277818317617099	SNVs	1015			940	0.9261083743842364	874	0.8610837438423645	732	0.7211822660098522
IID_H158181	99	0.277818317617099	Indels	214			201	0.9392523364485982	186	0.8691588785046729	138	0.6448598130841121
IID_H158181	99	0.277818317617099	SVs	0			0		0		0	
IID_H158182	155	0.93186	SNVs	3666	3627.0	0.9893617021276596	3619	0.9871794871794872	3606	0.983633387888707	3593	0.9800872885979269
IID_H158182	155	0.93186	Indels	1446	1408.0	0.9737206085753803	1380	0.9543568464730291	1371	0.9481327800829875	1328	0.9183955739972337
IID_H158182	155	0.93186	SVs	69	68.0	0.9855072463768116	67	0.9710144927536232	67	0.9710144927536232	67	0.9710144927536232
IID_H158183	85	0.75848	SNVs	4704					4323	0.9190051020408163	3720	0.7908163265306123
IID_H158183	85	0.75848	Indels	303					275	0.9075907590759076	239	0.7887788778877888
IID_H158183	85	0.75848	SVs	90					83	0.9222222222222223	67	0.7444444444444445
IID_H158184	92	0.6895	SNVs	4768			4532	0.950503355704698	4101	0.8601090604026845	3153	0.6612835570469798
IID_H158184	92	0.6895	Indels	247			233	0.9433198380566802	214	0.8663967611336032	150	0.6072874493927125
IID_H158184	92	0.6895	SVs	61			54	0.8852459016393442	45	0.7377049180327869	29	0.47540983606557374
IID_H158223	86	0.87957	SNVs	8286			8243	0.9948105237750422	8143	0.9827419744146754	7943	0.9586048756939416
IID_H158223	86	0.87957	Indels	756			746	0.9867724867724867	738	0.9761904761904762	701	0.9272486772486772
IID_H158223	86	0.87957	SVs	324			320	0.9876543209876543	306	0.9444444444444444	283	0.8734567901234568
IID_H158271	110	0.49344	SNVs	723	698.0	0.9654218533886584	624	0.8630705394190872	558	0.7717842323651453	441	0.6099585062240664
IID_H158271	110	0.49344	Indels	84	80.0	0.9523809523809523	73	0.8690476190476191	60	0.7142857142857143	54	0.6428571428571429
IID_H158271	110	0.49344	SVs	4	4.0	1.0	4	1.0	3	0.75	1	0.25
IID_H158273	117	0.8159	SNVs	3082	2911.0	0.9445165476963011	2758	0.8948734587929915	2611	0.8471771576898118	2480	0.8046722907203114
IID_H158273	117	0.8159	Indels	343	337.0	0.9825072886297376	331	0.9650145772594753	322	0.9387755102040817	305	0.8892128279883382
IID_H158273	117	0.8159	SVs	242	240.0	0.9917355371900827	230	0.9504132231404959	230	0.9504132231404959	225	0.9297520661157025
IID_H134768	77	0.90675	SNVs	4754					4412	0.9280605805637357	4057	0.8533866217921751
IID_H134768	77	0.90675	Indels	1201					1165	0.9700249791840133	1082	0.9009159034138218
IID_H134768	77	0.90675	SVs	329					259	0.7872340425531915	200	0.60790273556231
IID_H158493	89	0.56608	SNVs	4850			4706	0.9703092783505155	4491	0.9259793814432989	4070	0.8391752577319588
IID_H158493	89	0.56608	Indels	647			623	0.9629057187017002	593	0.9165378670788253	504	0.7789799072642968
IID_H158493	89	0.56608	SVs	263			258	0.9809885931558935	248	0.9429657794676806	182	0.6920152091254753
IID_H134738	91	0.86688	SNVs	9274			9082	0.9792969592408886	8863	0.9556825533750269	8511	0.9177269786499892
IID_H134738	91	0.86688	Indels	1112			1091	0.9811151079136691	1058	0.9514388489208633	984	0.8848920863309353
IID_H134738	91	0.86688	SVs	381			373	0.979002624671916	357	0.937007874015748	315	0.8267716535433071
IID_H158878	95	0.651395801155	SNVs	1892			1838	0.9714587737843552	1761	0.9307610993657506	1634	0.8636363636363636
IID_H158878	95	0.651395801155	Indels	691			659	0.9536903039073806	634	0.9175108538350217	563	0.8147612156295224
IID_H158878	95	0.651395801155	SVs	15			15	1.0	14	0.9333333333333333	14	0.9333333333333333
IID_H158880	115	0.72562	SNVs	2388	2311.0	0.9677554438860971	2202	0.9221105527638191	2068	0.8659966499162479	1848	0.7738693467336684
IID_H158880	115	0.72562	Indels	1747	1676.0	0.9593589009730967	1627	0.931310818546079	1550	0.8872352604464797	1390	0.795649685174585
IID_H158880	115	0.72562	SVs	206	201.0	0.9757281553398058	187	0.9077669902912622	172	0.8349514563106796	151	0.7330097087378641
IID_H158916	84	0.82782	SNVs	2428					2103	0.8661449752883031	1712	0.7051070840197694
IID_H158916	84	0.82782	Indels	348					313	0.8994252873563219	274	0.7873563218390804
IID_H158916	84	0.82782	SVs	218					203	0.9311926605504587	174	0.7981651376146789
IID_H158917	101	0.399	SNVs	6680			5346	0.8002994011976048	4214	0.6308383233532934	3087	0.46212574850299404
IID_H158917	101	0.399	Indels	468			444	0.9487179487179487	413	0.8824786324786325	339	0.7243589743589743
IID_H158917	101	0.399	SVs	51			48	0.9411764705882353	46	0.9019607843137255	33	0.6470588235294118
IID_H158918	88	1.0	SNVs	77			64	0.8311688311688312	51	0.6623376623376623	39	0.5064935064935064
IID_H158918	88	1.0	Indels	26			26	1.0	24	0.9230769230769231	23	0.8846153846153846
IID_H158918	88	1.0	SVs	0			0		0		0	
IID_H158919	146	0.55974	SNVs	4295	3893.0	0.9064027939464494	3648	0.849359720605355	3285	0.7648428405122235	2610	0.6076833527357393
IID_H158919	146	0.55974	Indels	253	231.0	0.9130434782608695	220	0.8695652173913043	201	0.7944664031620553	172	0.6798418972332015
IID_H158919	146	0.55974	SVs	232	213.0	0.9181034482758621	209	0.9008620689655172	190	0.8189655172413793	163	0.7025862068965517
IID_H159103	107	0.88644	SNVs	1223	1216.0	0.9942763695829926	1203	0.9836467702371219	1187	0.9705641864268193	1174	0.9599345870809485
IID_H159103	107	0.88644	Indels	169	164.0	0.9704142011834319	160	0.9467455621301775	158	0.9349112426035503	147	0.8698224852071006
IID_H159103	107	0.88644	SVs	13	13.0	1.0	13	1.0	13	1.0	12	0.9230769230769231
IID_H159153	130	0.24778	SNVs	10321	9717.0	0.9414785389012692	9151	0.8866388915802732	8209	0.7953686658269548	6164	0.5972289506830734
IID_H159153	130	0.24778	Indels	543	478.0	0.8802946593001841	449	0.8268876611418048	381	0.7016574585635359	278	0.5119705340699816
IID_H159153	130	0.24778	SVs	1006	938.0	0.9324055666003976	848	0.8429423459244533	686	0.6819085487077535	353	0.3508946322067594
IID_H159369	109	0.67388	SNVs	3746	3610.0	0.9636946075814202	3290	0.8782701548318206	2958	0.789642285104111	2494	0.6657768286171917
IID_H159369	109	0.67388	Indels	300	282.0	0.94	272	0.9066666666666666	253	0.8433333333333334	214	0.7133333333333334
IID_H159369	109	0.67388	SVs	412	404.0	0.9805825242718447	385	0.9344660194174758	365	0.8859223300970874	317	0.7694174757281553
IID_H159370	86	0.67876	SNVs	7126			7040	0.9879315183833848	6751	0.9473758069042941	6071	0.8519506034240808
IID_H159370	86	0.67876	Indels	682			671	0.9838709677419355	640	0.9384164222873901	569	0.8343108504398827
IID_H159370	86	0.67876	SVs	520			516	0.9923076923076923	498	0.9576923076923077	425	0.8173076923076923
IID_H159371	102	0.3432	SNVs	683			551	0.8067349926793558	465	0.6808199121522694	341	0.4992679355783309
IID_H159371	102	0.3432	Indels	56			52	0.9285714285714286	48	0.8571428571428571	33	0.5892857142857143
IID_H159371	102	0.3432	SVs	0			0		0		0	
IID_H159446	122	0.93812	SNVs	8318	8261.0	0.9931473911998077	8235	0.9900216398172638	8177	0.9830488098100505	8107	0.9746333253185862
IID_H159446	122	0.93812	Indels	1000	982.0	0.982	977	0.977	969	0.969	941	0.941
